n,BST insert time (sorted input),AVL insert time (sorted input),BST height (sorted input),AVL height (sorted input)
100,0.0007242759999996906,0.0007752239999945232,100,7
1000,0.10295461100000125,0.008506667000006018,1000,10
10000,10.11155876700002,0.09092872599998714,10000,14
