n,BST (random order),AVL Tree,Hash Table (chaining),Min-Heap (push)
100,9.004500000742155e-05,0.0008607149999875219,0.0001989459999833798,8.596300000363044e-05
1000,0.0026533580000034362,0.006352146000011771,0.0017223799999896983,0.000878767000017433
10000,0.032149728999996796,0.10830959800000528,0.06987243200001103,0.024951735000001918
