n,BST,AVL Tree,Hash Table (chaining)
100,4.250099999580925e-05,4.3511000001217326e-05,3.724999999121792e-05
1000,0.0007289050000167663,0.000599033000014515,0.0003613460000053692
10000,0.015992249999982278,0.010770689999986871,0.005388167000006661
